"" "ensembl_gene_id" "entrezgene_id"
"589" "ENSG00000204314" 80863
"590" "ENSG00000253170" NA
"591" "ENSG00000225452" 6048
"592" "ENSG00000250501" NA
"593" "ENSG00000054965" 23201
"594" "ENSG00000230442" NA
"595" "ENSG00000286041" NA
"596" "ENSG00000282350" NA
"597" "ENSG00000188076" 147199
"598" "ENSG00000258627" NA
"599" "ENSG00000262759" NA
"600" "ENSG00000282482" NA
"601" "ENSG00000242307" NA
"602" "ENSG00000255255" NA
"603" "ENSG00000259724" NA
"604" "ENSG00000129862" 9084
"605" "ENSG00000129862" 353513
"606" "ENSG00000177951" 51272
"607" "ENSG00000262732" NA
"608" "ENSG00000254915" NA
"609" "ENSG00000236935" NA
"610" "ENSG00000167107" 80221
"611" "ENSG00000284954" NA
"612" "ENSG00000167608" 147798
"613" "ENSG00000255297" NA
"614" "ENSG00000228854" 11270
"615" "ENSG00000258895" NA
"616" "ENSG00000235451" NA
"617" "ENSG00000251027" NA
"618" "ENSG00000223517" NA
"619" "ENSG00000229942" NA
"620" "ENSG00000153291" 9481
"621" "ENSG00000233647" NA
"622" "ENSG00000241404" 80864
"623" "ENSG00000287825" NA
"624" "ENSG00000236457" NA
"625" "ENSG00000137161" 10695
"626" "ENSG00000186118" 374973
"627" "ENSG00000229529" NA
"628" "ENSG00000279562" NA
"629" "ENSG00000185825" 10134
"630" "ENSG00000212163" NA
"631" "ENSG00000237428" NA
"632" "ENSG00000184611" 90134
"633" "ENSG00000211649" NA
"634" "ENSG00000232603" NA
"635" "ENSG00000070366" 23293
"636" "ENSG00000211650" NA
"637" "ENSG00000254674" NA
"638" "ENSG00000250273" NA
"639" "ENSG00000144278" 114805
"640" "ENSG00000250381" NA
"641" "ENSG00000228706" NA
"642" "ENSG00000255053" NA
"643" "ENSG00000124882" 2069
"644" "ENSG00000250710" NA
"645" "ENSG00000283445" NA
"646" "ENSG00000213366" 2946
"647" "ENSG00000254920" NA
"648" "ENSG00000255551" NA
"649" "ENSG00000177606" 3725
"650" "ENSG00000254728" NA
"651" "ENSG00000136305" 27141
"652" "ENSG00000211651" NA
"653" "ENSG00000277018" 341947
"654" "ENSG00000214293" NA
"655" "ENSG00000230724" NA
"656" "ENSG00000235374" NA
"657" "ENSG00000211652" NA
"658" "ENSG00000244968" NA
"659" "ENSG00000237750" NA
"660" "ENSG00000239257" NA
"661" "ENSG00000233323" 7148
"662" "ENSG00000059377" 6916
"663" "ENSG00000254175" NA
"664" "ENSG00000225864" NA
"665" "ENSG00000101134" 55816
"666" "ENSG00000271691" NA
"667" "ENSG00000250532" NA
"668" "ENSG00000214922" NA
"669" "ENSG00000285826" NA
"670" "ENSG00000256148" NA
"671" "ENSG00000243058" NA
"672" "ENSG00000254073" NA
"673" "ENSG00000255786" NA
"674" "ENSG00000260312" NA
"675" "ENSG00000258762" NA
"676" "ENSG00000253818" NA
"677" "ENSG00000177947" 113746
"678" "ENSG00000270323" NA
"679" "ENSG00000249351" NA
"680" "ENSG00000211653" NA
"681" "ENSG00000250673" 345051
"682" "ENSG00000250150" NA
"683" "ENSG00000229925" NA
"684" "ENSG00000287082" NA
"685" "ENSG00000273340" NA
"686" "ENSG00000285711" 105377256
"687" "ENSG00000227721" NA
"688" "ENSG00000248913" NA
"689" "ENSG00000283524" NA
"690" "ENSG00000269885" NA
"691" "ENSG00000160209" 8566
"692" "ENSG00000160209" 105372824
"693" "ENSG00000270336" NA
"694" "ENSG00000183691" 9241
"695" "ENSG00000268416" NA
"696" "ENSG00000285405" NA
"697" "ENSG00000229849" NA
"698" "ENSG00000157557" 2114
"699" "ENSG00000268272" NA
"700" "ENSG00000204642" 3134
"701" "ENSG00000234846" 4758
"702" "ENSG00000188171" 199777
"703" "ENSG00000279672" NA
"704" "ENSG00000155508" 9337
"705" "ENSG00000255284" NA
"706" "ENSG00000006715" 27072
"707" "ENSG00000269307" NA
"708" "ENSG00000180113" 221400
"709" "ENSG00000181392" 163183
"710" "ENSG00000204310" 10554
"711" "ENSG00000160113" 2063
"712" "ENSG00000255142" NA
"713" "ENSG00000213906" 56413
"714" "ENSG00000287188" NA
